Question_ID,Question,Question_Type,Subject,Difficulty,Ground_Truth,Evidence_Source,AI_Response,Evaluation,Hallucination,Severity,Evaluator_Notes
Q001,Who discovered penicillin?,Factual,Biology,Easy,"Alexander Fleming is credited with discovering penicillin in 1928, after observing that a Penicillium mould inhibited bacterial growth.","Alexander Fleming / penicillin review, PubMed Central — https://pmc.ncbi.nlm.nih.gov/articles/PMC4520913/","Alexander Fleming is credited with discovering penicillin in 1928, after observing that a Penicillium mould inhibited bacterial growth.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q002,What is the chemical symbol for gold?,Factual,Chemistry,Easy,Au,Royal Society of Chemistry — Gold (Au) — https://www.rsc.org/periodic-table/element/79/gold,Au,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q003,What is the largest planet in the Solar System?,Factual,Astronomy,Easy,Jupiter,NASA — Jupiter — https://science.nasa.gov/jupiter/,Jupiter,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q004,Who wrote the play Romeo and Juliet?,Factual,Literature,Easy,William Shakespeare,Encyclopaedia Britannica — William Shakespeare — https://www.britannica.com/biography/William-Shakespeare,William Shakespeare,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q005,What is the capital of Japan?,Factual,Geography,Easy,Tokyo,Encyclopaedia Britannica — Tokyo — https://www.britannica.com/place/Tokyo,Tokyo,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q006,Which organ pumps blood through the human body?,Factual,Biology,Easy,The heart,OpenStax Anatomy & Physiology 2e — The Heart — https://openstax.org/books/anatomy-and-physiology-2e/pages/19-1-heart-anatomy,The heart,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q007,What is the speed of light in vacuum approximately?,Factual,Physics,Medium,"Approximately 299,792,458 m/s (about 3.00 × 10^8 m/s).",NIST — Meet the Constants — https://www.nist.gov/si-redefinition/meet-constants,"Approximately 299,792,458 m/s (about 3.00 × 10^8 m/s).",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q008,Who developed the theory of general relativity?,Factual,Physics,Easy,Albert Einstein,Encyclopaedia Britannica — Albert Einstein — https://www.britannica.com/biography/Albert-Einstein,Albert Einstein,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q009,Which gas is most abundant in Earth's atmosphere?,Factual,Earth Science,Easy,"Nitrogen, about 78% of Earth's atmosphere by volume.",Encyclopaedia Britannica (historical reference) — Nitrogen — https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Nitrogen,"Nitrogen, about 78% of Earth's atmosphere by volume.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q010,What is the SI unit of force?,Factual,Physics,Easy,Newton (N),NIST Guide to the SI — https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b-conversion-factors,Newton (N),Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q011,Which planet is known as the Red Planet?,Factual,Astronomy,Easy,Mars,NASA — Mars Facts — https://science.nasa.gov/mars/facts/,Mars,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
